iter	Passed	Remaining
127	40751	5392309
128	41414	5437212
129	42127	5487897
130	42219	5457655
131	42890	5502012
132	43457	5532453
133	44000	5559537
134	44644	5598777
135	44672	5560734
136	45336	5601881
137	45953	5636671
138	46701	5686774
139	47239	5710940
140	48475	5818481
141	49096	5851123
142	50189	5939182
143	51138	6009152
144	51226	5977607
145	51278	5942378
146	52270	6015723
147	53178	6078516
148	53208	6040766
149	54083	6098825
150	54886	6147983
151	55660	6193373
152	55711	6158133
153	56655	6221462
154	57499	6272984
155	58280	6317047
156	59036	6357854
157	59625	6380342
158	60240	6405172
159	61016	6446756
160	61602	6467876
161	62422	6513128
162	63099	6543025
163	63712	6565917
164	64526	6609029
165	65107	6627975
166	65840	6662109
167	66422	6680603
168	67064	6704883
169	67749	6733111
170	68557	6773146
171	69299	6806295
172	70120	6846697
173	70785	6871527
174	71445	6895486
175	72593	6966109
176	73349	6998449
177	73402	6963763
178	74073	6987710
179	74725	7009633
180	75504	7043148
181	76813	7125537
182	77795	7176772
183	78852	7234279
184	79655	7268053
185	80286	7285826
186	81108	7320615
187	81728	7336911
188	81802	7304212
189	82566	7333203
190	83354	7363996
191	84139	7394157
192	84816	7414666
193	85630	7446739
194	86585	7490798
195	87415	7523562
196	88329	7563180
197	89207	7599289
198	89973	7625571
199	90919	7666799
200	91617	7686750
201	92395	7713165
202	93161	7738388
203	93729	7746960
204	94395	7763441
205	95090	7782209
206	95818	7803407
207	96542	7824090
208	97274	7845284
209	98033	7868357
210	98985	7906610
211	100207	7966032
212	101008	7991531
213	101865	8021171
214	102650	8044911
215	103370	8063400
216	104160	8087114
217	104987	8113411
218	105739	8133712
219	106578	8160550
220	107376	8183931
221	108181	8207693
222	108925	8226597
223	109643	8243304
224	110328	8257494
225	111024	8272328
226	111856	8297109
227	112574	8313216
228	113293	8329329
229	114064	8349036
230	114776	8364256
231	115598	8387364
232	116253	8398178
233	117049	8419064
234	117838	8439228
235	118988	8484994
236	119887	8512529
237	120808	8541389
238	121627	8562808
239	122397	8580588
240	123036	8589094
241	123830	8608274
242	124633	8627910
243	125401	8645025
244	126192	8663524
245	126766	8667020
246	127500	8681391
247	128787	8733140
248	129649	8755733
249	130845	8800636
250	131790	8828413
251	132731	8855607
252	133718	8885656
253	134547	8905050
254	135333	8921398
255	135968	8927682
256	136716	8941349
257	137851	8980093
258	138804	9006727
259	139671	9027599
260	140535	9048136
261	141341	9064766
262	142404	9097619
263	143515	9133332
264	144572	9165350
265	145674	9199974
266	146555	9220401
267	147380	9237153
268	148049	9244037
269	148146	9215238
270	148237	9186379
271	149074	9203719
272	149830	9215948
273	150604	9229212
274	151388	9242939
275	152604	9282886
276	153825	9322847
277	154627	9337146
278	155506	9356016
279	156334	9371690
280	157167	9387566
281	158217	9416176
282	159445	9455172
283	160499	9483619
284	161367	9500839
285	162305	9522126
286	162898	9523026
287	163728	9537766
288	164539	9551255
289	165169	9554189
290	165946	9565579
291	166611	9570483
292	167324	9578069
293	168151	9592088
294	169001	9607317
295	170044	9633378
296	170830	9644740
297	172033	9679472
298	173054	9703790
299	173872	9716596
300	174792	9734938
301	175554	9744445
302	175795	9725009
303	176526	9732746
304	177304	9743017
305	178035	9750650
306	178703	9754785
307	179470	9764240
308	180176	9770357
309	180991	9782325
310	182033	9806391
311	182878	9819750
312	183525	9822420
313	184285	9831122
314	184336	9802012
315	185380	9825726
316	186406	9848370
317	187276	9862619
318	187992	9868719
319	188805	9879820
320	189621	9891048
321	190755	9918671
322	191763	9939648
323	193132	9979117
324	193896	9987147
325	194994	10012316
326	195818	10023293
327	196598	10031907
328	197477	10045544
329	198296	10056044
330	199174	10069468
331	199937	10076994
332	200848	10091906
333	201777	10107590
334	202611	10118500
335	203448	10129451
336	204394	10145710
337	205185	10154241
338	205971	10162496
339	206572	10161539
340	207337	10168662
341	208194	10180226
342	208943	10186455
343	209670	10191569
344	210503	10201770
345	211417	10215857
346	212096	10218550
347	212911	10227712
348	213674	10234332
349	214403	10239290
350	215088	10242155
351	215905	10251211
352	215976	10224914
353	216650	10227268
354	217471	10236454
355	218104	10236820
356	218854	10242621
357	219529	10244916
358	219578	10218063
359	220197	10217768
360	221007	10226323
361	221774	10232859
362	222537	10239188
363	223295	10245215
364	224055	10251285
365	224879	10260301
366	225725	10270205
367	226444	10274306
368	227212	10280611
369	227285	10255480
370	228017	10260195
371	228726	10263801
372	229587	10274174
373	230324	10279013
374	231171	10288658
375	231908	10293393
376	232669	10299163
377	233413	10304135
378	234132	10307988
379	234833	10311047
380	235611	10317415
381	236389	10323782
382	237203	10331675
383	237993	10338447
384	238726	10342744
385	239549	10350877
386	240264	10354364
387	241301	10371590
388	242602	10400097
389	243660	10418069
390	244845	10441295
391	245942	10460723
392	247166	10485389
393	247950	10491337
394	248731	10497117
395	249718	10511503
396	250690	10525226
397	251677	10539467
398	253020	10568516
399	253849	10575999
400	254793	10588209
401	255561	10593077
402	256616	10609776
403	257405	10615417
404	258071	10615995
405	258751	10617077
406	259479	10620183
407	260144	10620635
408	260845	10622580
409	261844	10636628
410	262684	10644161
411	263424	10647601
412	264078	10647526
413	264838	10651738
414	265619	10656778
415	266364	10660334
416	267079	10662672
417	267826	10666282
418	268545	10668772
419	269254	10670814
420	270016	10674944
421	270654	10674180
422	271418	10678348
423	272239	10684769
424	272875	10683880
425	273618	10687169
426	274510	10696247
427	275415	10705815
428	276354	10716614
429	277034	10717385
430	277961	10727631
431	278537	10724336
432	279348	10730086
433	280068	10732284
434	280798	10734894
435	281469	10735220
436	282201	10737856
437	282962	10741576
438	283660	10742918
439	284403	10745930
440	285183	10750300
441	285949	10754148
442	286666	10756159
443	287685	10769409
444	288762	10784788
445	289948	10804144
446	290993	10818170
447	291668	10818436
448	292365	10819460
449	293216	10826203
450	293922	10827563
451	294711	10831966
452	295539	10837747
453	295630	10816571
454	296351	10818465
455	297054	10819689
456	297745	10820461
457	298457	10822027
458	299148	10822804
459	299850	10823943
460	300591	10826521
461	301300	10827890
462	301976	10828112
463	302615	10826996
464	303358	10829578
465	304122	10832907
466	304925	10837571
467	305678	10840478
468	306485	10845268
469	307099	10843243
470	307803	10844362
471	308506	10845434
472	309248	10847896
473	309961	10849289
474	310674	10850721
475	311310	10849433
476	312042	10851500
477	312707	10851222
478	313398	10851849
479	313439	10829975
480	314080	10828907
481	314883	10833418
482	315626	10835850
483	316397	10839217
484	317117	10840836
485	317787	10840754
486	318554	10843925
487	319391	10849501
488	320459	10862862
489	321321	10869202
490	322043	10870767
491	322733	10871257
492	323565	10876522
493	324452	10883606
494	325101	10882676
495	325927	10887686
496	326711	10891251
497	327469	10893948
498	328309	10899356
499	329131	10904118
500	329923	10907882
501	330579	10907141
502	331474	10914268
503	332088	10912151
504	333121	10923759
505	334017	10930837
506	334670	10929942
507	335778	10943879
508	337317	10971774
509	338844	10999172
510	340302	11024187
511	341612	11044371
512	342431	11048598
513	343511	11061205
514	344535	11071966
515	345917	11094178
516	346753	11098785
517	347612	11104149
518	348567	11112507
519	349315	11114269
520	350098	11117130
521	350911	11120950
522	351683	11123423
523	352479	11126644
524	353589	11139754
525	354535	11147632
526	355864	11167543
527	356798	11174942
528	357482	11174528
529	358219	11175781
530	358976	11177632
531	359811	11181885
532	360492	11181341
533	361262	11183563
534	361937	11182861
535	362676	11184096
536	363361	11183698
537	364073	11184086
538	364885	11187558
539	365615	11188507
540	366413	11191530
541	367135	11192208
542	367905	11194369
543	368548	11192625
544	369255	11192833
545	369909	11191466
546	370634	11192212
547	371443	11195506
548	372136	11195261
549	372913	11197572
550	373662	11199028
551	374496	11203011
552	375399	11209047
553	376516	11221425
554	377641	11233994
555	378478	11237964
556	379179	11237883
557	379838	11236534
558	380685	11240776
559	381570	11246111
560	382724	11259332
561	383784	11269750
562	384458	11268811
563	385478	11277966
564	386272	11280514
565	386984	11280652
566	387793	11283623
567	388428	11281530
568	389586	11294574
569	390834	11310190
570	392375	11334228
571	393654	11350599
572	395036	11369892
573	396354	11387258
574	397276	11393204
575	398120	11396904
576	398963	11400530
577	399707	11401346
578	400474	11402796
579	401391	11408517
580	402255	11412709
581	403266	11421041
582	404318	11430504
583	405144	11433538
584	406021	11438009
585	406941	11443664
586	408117	11456481
587	409002	11461114
588	409823	11463927
589	410664	11467295
590	411343	11466109
591	412070	11466281
592	412928	11470092
593	413624	11469374
594	414480	11473097
595	415222	11473659
596	415964	11474198
597	416745	11475826
598	417410	11474253
599	418133	11474274
600	418895	11475355
601	419683	11477146
602	420521	11480312
603	421208	11479333
604	421862	11477444
605	422519	11475666
606	423320	11477778
607	424063	11478306
608	424907	11481559
609	425646	11481977
610	426335	11481058
611	427118	11482655
612	427949	11485515
613	428760	11487855
614	429434	11486507
615	430217	11488064
616	431018	11490109
617	431772	11490864
618	432554	11492382
619	433338	11493951
620	434029	11493036
621	434853	11495664
622	435517	11494025
623	436201	11492943
624	436951	11493579
625	437753	11495563
626	438440	11494564
627	439184	11495033
628	439850	11493447
629	440593	11493908
630	441279	11492836
631	441954	11491520
632	442668	11491195
633	443406	11491512
634	444130	11491432
635	444921	11493105
636	445782	11496565
637	446629	11499648
638	447443	11501882
639	448278	11504650
640	448951	11503233
641	449726	11504458
642	450539	11506623
643	451371	11509266
644	452112	11509584
645	452839	11509547
646	453659	11511868
647	454411	11512450
648	455200	11513977
649	455914	11513599
650	456594	11512357
651	457315	11512157
652	458021	11511552
653	458898	11515262
654	459565	11513694
655	460264	11512920
656	461080	11515094
657	461958	11518763
658	462899	11524015
659	463790	11527994
660	465035	11540753
661	466553	11560227
662	467709	11570706
663	469301	11591885
664	470449	11602067
665	471340	11605886
666	472004	11604086
667	473289	11617562
668	474544	11630244
669	475529	11636281
670	476383	11639097
671	477141	11639551
672	478115	11645269
673	479299	11656077
674	480296	11662305
675	481275	11668076
676	482190	11672276
677	482968	11673165
678	483770	11674620
679	484870	11683247
680	485886	11689814
681	486692	11691321
682	487554	11694176
683	488617	11701818
684	489533	11705933
685	490358	11707851
686	491050	11706583
687	491763	11705836
688	492694	11710252
689	494145	11727005
690	495285	11736332
691	497196	11763873
692	498108	11767713
693	499181	11775350
694	499460	11764277
695	500272	11765741
696	500983	11764840
697	502000	11771126
698	502291	11760384
699	503269	11765722
700	504205	11770063
701	504860	11767845
702	505725	11770520
703	506568	11772688
704	507722	11782048
705	509125	11797135
706	509933	11798427
707	510818	11801485
708	511552	11801059
709	512580	11807406
710	513700	11815843
711	514474	11816294
712	515458	11821562
713	516199	11821252
714	517152	11825790
715	518161	11831606
716	519017	11833892
717	520031	11839779
718	521492	11855799
719	522837	11869129
720	524019	11878734
721	524984	11883404
722	525897	11886886
723	526736	11888671
724	527524	11889318
725	528295	11889562
726	529170	11892142
727	530076	11895419
728	531239	11904430
729	532161	11908033
730	532806	11905427
731	533462	11903072
732	534154	11901522
733	534941	11902090
734	535651	11900941
735	536475	11902319
