iter	RMSE
163	558.9192129
164	558.8682085
165	557.5127943
166	554.8616668
167	553.9249919
168	552.1419314
169	552.1339622
170	552.113306
171	549.8631486
172	549.716775
173	549.5420828
174	548.4210888
175	548.2979788
176	546.064207
177	545.8131995
178	545.0664373
179	543.9166524
180	541.3694093
181	541.3503346
182	539.9621923
183	538.863772
184	537.9524531
185	536.1455018
186	536.1308025
187	535.2852928
188	535.2763341
189	533.1343761
190	532.5996598
191	530.7682055
192	530.1061324
193	528.722472
194	527.0156008
195	525.7936995
196	524.6593896
197	524.1162902
198	523.4894932
199	523.4572499
200	522.1916577
201	522.1768246
202	522.164958
203	521.1312925
204	520.7559692
205	520.7146154
206	519.5486435
207	519.5381144
208	518.129132
209	516.2397801
210	516.1972027
211	516.0800819
212	515.6345646
213	515.6217108
214	515.6080122
215	515.0215964
216	515.0112488
217	515.000979
218	514.0775449
219	513.5648423
220	513.3911855
221	513.3162907
222	513.2501836
223	512.2694567
224	511.5677535
225	511.5097846
226	511.432341
227	511.4187239
228	511.4117824
229	511.3866178
230	511.379797
231	510.3575959
232	509.6911957
233	509.6607563
234	508.1870031
235	507.5891867
236	507.2884766
237	506.9584419
238	506.8994825
239	506.6390152
240	506.1780714
241	504.8991574
242	504.5526251
243	503.346551
244	503.0253772
245	501.8342723
246	501.2749192
247	501.2251728
248	501.1863368
249	500.2812921
250	500.2419877
251	499.2986272
252	499.2848541
253	498.1007219
254	497.53774
255	497.0937906
256	495.9860437
257	495.9183916
258	495.7339962
259	495.1886099
260	495.1659189
261	495.1493936
262	495.140845
263	494.4929102
264	494.005854
265	493.9520101
266	493.4875222
267	492.6470963
268	492.6434306
269	492.6404264
270	492.6364782
271	492.0552707
272	491.1646874
273	490.5381894
274	490.4699424
275	489.7545217
276	489.2642409
277	488.0592247
278	488.0493832
279	487.6516159
280	487.6442364
281	486.9168899
282	486.700987
283	486.5973493
284	485.6403395
285	484.8286111
286	484.1858605
287	483.5991694
288	483.3033131
289	483.0297212
290	482.6810365
291	481.6283201
292	481.1176148
293	480.9668359
294	480.4286397
295	480.1385633
296	479.5847372
297	478.537528
298	477.8727731
299	477.8567275
300	477.5348047
301	477.4897747
302	477.4795002
303	476.6278392
304	475.9835187
305	475.3354517
306	474.8823747
307	474.5537
308	473.9683713
309	473.8856376
310	473.674046
311	473.6658395
312	473.2866591
313	472.6767377
314	472.6183993
315	472.6024319
316	472.556347
317	472.5494058
318	472.4619955
319	472.4429309
320	472.402464
321	472.3608076
322	472.3275211
323	472.2935909
324	471.6543906
325	470.832001
326	470.8277018
327	470.2165092
328	470.2108411
329	469.6743182
330	469.6465532
331	469.118913
332	469.0796599
333	468.8151493
334	468.2260727
335	467.5105214
336	467.4792147
337	466.9186439
338	466.7824364
339	466.2847704
340	466.2267022
341	466.1165959
342	465.9743997
343	465.8139205
344	465.6829523
345	465.2195738
346	464.7484401
347	464.7152256
348	464.3897552
349	464.1299148
350	463.3949681
351	462.3658273
352	462.0857042
353	462.0818493
354	461.3516153
355	460.9535566
356	460.2184274
357	460.1209167
358	460.1195376
359	459.7362452
360	459.0691952
361	458.5192281
362	458.3398354
363	458.0574058
364	457.2027827
365	456.7253459
366	456.3548278
367	455.7830446
368	455.4863277
369	455.4857062
370	454.9910328
371	454.9744793
372	454.9375245
373	454.8735313
374	454.6413713
375	454.3552008
376	454.2971503
377	453.9023806
378	453.6105302
379	452.9013268
380	452.3620835
381	452.3526815
382	452.3427012
383	451.9448489
384	451.5350977
385	451.5246309
386	451.3681581
387	451.339064
388	451.3355085
389	451.1297415
390	450.6784647
391	449.9806005
392	449.9676592
393	449.5949419
394	449.1712282
395	448.5100598
396	448.2702471
397	447.7645507
398	447.4003765
399	446.7616571
400	446.7491825
401	446.2739304
402	446.0232716
403	445.7785088
404	445.705596
405	445.6679456
406	445.5932831
407	445.2204221
408	444.9578487
409	444.1998168
410	444.1776282
411	443.9262887
412	443.5906237
413	443.2495857
414	443.1899157
415	442.2783091
416	441.4582436
417	441.0139992
418	440.7884937
419	440.6970466
420	440.275834
421	440.046841
422	440.0183649
423	439.8066517
424	439.4273477
425	438.9899303
426	438.7959586
427	438.6521006
428	438.639685
429	438.3775977
430	437.8271979
431	437.4871752
432	437.0200913
433	436.2140849
434	435.3774418
435	434.6586548
436	434.6095944
437	434.012461
438	433.2215074
439	433.1800392
440	433.1754671
441	433.0930938
442	433.0658931
443	433.0602868
444	432.6043515
445	432.5612583
446	432.471933
447	432.287374
448	432.2658777
449	431.9851462
450	431.6819027
451	430.8543409
452	430.4246492
453	430.4236752
454	430.2447742
455	430.2113087
456	429.9628395
457	429.8305827
458	429.4873235
459	429.1208228
460	428.2551697
461	428.0166163
462	427.4253362
463	426.8643858
464	426.5773785
465	426.5740655
466	425.6339735
467	425.392435
468	424.785401
469	424.7487787
470	424.2579487
471	423.7885389
472	423.5264001
473	423.2862634
474	423.0563941
475	422.6001026
476	422.1648162
477	421.6497422
478	421.2239979
479	421.2234702
480	421.0347348
481	419.8998659
482	419.7995262
483	419.7163152
484	419.4758217
485	419.2461749
486	418.6227075
487	418.5849091
488	418.0217823
489	417.3292819
490	416.634411
491	415.9220454
492	415.9182588
493	415.6105725
494	415.1795097
495	414.9922986
496	414.516239
497	414.3489677
498	414.3070883
499	413.8972158
500	413.6865708
501	413.5952069
502	413.5018651
503	413.181359
504	412.6983697
505	412.140032
506	412.124596
507	411.81038
508	411.6939835
509	411.5828023
510	411.294474
511	411.2818543
512	411.2694802
513	410.9665314
514	410.9388824
515	410.5949885
516	409.845655
517	409.5963837
518	409.5903197
519	409.4470433
520	409.3406653
521	408.9431264
522	408.8563286
523	408.654228
524	408.2112671
525	408.2065588
526	407.7826455
527	407.4847232
528	407.2486144
529	407.065438
530	406.9701106
531	406.9489567
532	406.5983785
533	406.597247
534	406.3009021
535	406.0963864
536	405.8640702
537	405.6667505
538	405.4266966
539	405.2769053
540	405.0740671
541	404.6736241
542	404.2926636
543	404.0474924
544	403.8231981
545	403.684352
546	403.6802587
547	403.4293883
548	403.2291452
549	403.1102495
550	402.5518967
551	401.9119212
552	401.4573347
553	401.3728822
554	401.0859227
555	400.6428658
556	400.3886171
557	400.200314
558	399.6670715
559	399.0582436
560	398.8428644
561	398.6757333
562	398.3486753
563	398.3193763
564	398.2127121
565	398.0451576
566	397.889001
567	397.5319142
568	397.5105093
569	397.4750198
570	397.0074531
571	396.8410023
572	396.7110835
573	396.4277782
574	396.3815946
575	396.3676082
576	395.9528957
577	395.4098481
578	394.9469354
579	394.9358765
580	394.4968553
581	394.0209028
582	393.7727428
583	393.4297325
584	393.4269448
585	393.4223576
586	393.1943096
587	392.8000089
588	392.6161681
589	391.9216895
590	391.6569912
591	391.5395707
592	391.3700261
593	391.3419035
594	390.725615
595	390.534821
596	390.0389237
597	389.7807944
598	389.3965581
599	389.1062616
600	389.0639103
601	389.0581989
602	389.0513071
603	389.0285631
604	389.0078112
605	388.8186425
606	388.7366698
607	388.5595289
608	388.3567512
609	388.0099101
610	388.0080944
611	387.9750948
612	387.6187217
613	387.6153738
614	387.5853184
615	387.4837489
616	387.1149882
617	386.9500828
618	386.8296595
619	386.8272291
620	386.4490381
621	386.1990832
622	385.8240187
623	385.7502543
624	385.3512515
625	385.3161034
626	385.05579
627	384.9191827
628	384.4755246
629	384.3763937
630	384.3729295
631	384.369997
632	384.356899
633	384.0658522
634	383.5669332
635	383.5633553
636	383.557677
637	383.5498927
638	383.4895956
639	382.9290522
640	382.9123977
641	382.7065425
642	382.3685385
643	381.9153847
644	381.5742122
645	380.9830241
646	380.7558517
647	380.6003911
648	380.4179324
649	380.0425113
650	379.6629537
651	379.3165779
652	378.8730476
653	378.4262502
654	378.2068655
655	378.032536
656	377.8567892
657	377.8301743
658	377.7098657
659	377.7062131
660	377.5636243
661	377.557863
662	377.4922639
663	377.1207155
664	376.6539056
665	376.5601095
666	376.3932534
667	376.1916341
668	376.1884568
669	375.667416
670	375.6179246
671	375.5133323
672	374.9606922
673	374.7760392
674	374.5740816
675	374.3202002
676	373.9966124
677	373.988309
678	373.5327743
679	373.3298011
680	373.1625134
681	373.0128539
682	372.44518
683	372.0625181
684	371.8249691
685	371.5682297
686	371.1808835
687	370.6961771
688	370.554769
689	370.2488833
690	370.073512
691	370.0697795
692	369.5317439
693	369.3170879
694	369.3150998
695	369.1064671
696	368.8687175
697	368.7079819
698	368.7047106
699	368.6408193
700	368.2045882
701	368.0037741
702	367.6373001
703	367.1725176
704	367.1374643
705	367.106896
706	366.977852
707	366.7587382
708	366.7568556
709	366.5639108
710	365.9968119
711	365.8735339
712	365.6071668
713	365.3065445
714	365.1342454
715	364.7954189
716	364.7596519
717	364.7501695
718	364.4950165
719	364.1069121
720	363.7638179
721	363.702586
722	363.4470162
723	363.4405236
724	363.2272696
725	363.1376939
726	362.768989
727	362.7003511
728	362.1812106
729	361.859076
730	361.6544447
731	361.5724759
732	361.5541478
733	361.388182
734	360.9717252
735	360.9668212
